name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
N.Aguerd,WHU,DEF,4.4,NotAvail,0,0,0,0.0,0.1
Souček,WHU,MID,5.0,Available,180,14,1,4.7,3.3
Zouma,WHU,DEF,4.4,NotAvail,0,0,0,0.0,0.4
Irving,WHU,MID,4.9,Available,0,0,0,0.0,0.0
Summerville,WHU,MID,5.9,Available,21,2,0,1.0,0.6
G.Rodríguez,WHU,MID,5.0,Available,264,6,0,2.0,0.1
Füllkrug,WHU,FWD,6.9,Available,63,3,0,1.0,2.4
Todibo,WHU,DEF,4.5,Available,7,2,0,1.0,0.4
Casey,WHU,DEF,4.0,Available,0,0,0,0.0,0.1
C.Soler,WHU,MID,5.0,Available,0,0,0,0.0,0.0
Johnstone,WOL,GKP,4.4,Available,90,3,0,3.0,0.4
Aït-Nouri,WOL,DEF,4.5,Available,209,4,0,1.3,2.4
B.Traore,WOL,MID,4.9,Injured,0,0,0,0.0,0.0
Bellegarde,WOL,MID,5.0,Available,197,9,0,3.0,0.1
Bentley,WOL,GKP,4.0,Available,0,0,0,0.0,2.1
Chiquinho,WOL,MID,4.5,NotAvail,6,1,0,1.0,0.2
Chirewa,WOL,MID,4.5,NotAvail,0,0,0,0.0,0.1
Chiwome,WOL,FWD,4.5,Injured,0,0,0,0.0,0.1
Cundle,WOL,MID,4.5,Available,0,0,0,0.0,0.2
Cunha,WOL,FWD,6.5,Available,190,9,0,3.0,2.6
Dawson,WOL,DEF,4.5,Available,119,4,0,1.3,0.2
Doherty,WOL,DEF,4.5,Available,195,1,0,0.3,0.2
Doyle,WOL,MID,4.9,Available,31,2,0,1.0,0.0
Fábio Silva,WOL,FWD,5.0,NotAvail,0,0,0,0.0,0.2
Fraser,WOL,FWD,4.5,NotAvail,0,0,0,0.0,4.2
Gonzalez,WOL,MID,4.5,Injured,0,0,0,0.0,0.0
Guedes,WOL,MID,5.4,Available,15,1,0,1.0,0.1
H.Bueno,WOL,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Hee Chan,WOL,MID,6.4,Available,178,4,0,1.3,0.6
Hodge,WOL,MID,4.5,NotAvail,0,0,0,0.0,0.4
Hoever,WOL,DEF,4.0,NotAvail,0,0,0,0.0,0.3
J.Gomes,WOL,MID,5.0,Available,232,3,0,1.0,0.1
José Sá,WOL,GKP,4.5,Available,180,1,0,0.5,2.1
Kalajdžić,WOL,FWD,4.9,Injured,0,0,0,0.0,0.1
King,WOL,GKP,4.0,Available,0,0,0,0.0,1.5
Mario Jr.,WOL,MID,5.0,Available,269,9,1,3.0,0.2
Mosquera,WOL,DEF,4.0,Available,270,1,0,0.3,1.1
N.Semedo,WOL,DEF,4.5,Available,74,2,0,2.0,0.0
Pedro Lima,WOL,DEF,4.0,Available,0,0,0,0.0,1.6
Podence,WOL,MID,5.5,NotAvail,46,2,0,1.0,0.1
R.Gomes,WOL,MID,5.4,Available,96,3,0,1.5,0.1
S.Bueno,WOL,DEF,4.4,Available,0,0,0,0.0,0.1
Sarabia,WOL,MID,5.4,Available,28,2,0,1.0,0.2
Strand Larsen,WOL,FWD,5.5,Available,258,10,0,3.3,0.9
Toti,WOL,DEF,4.5,Available,270,3,0,1.0,0.2
Meupiyou,WOL,DEF,4.0,Available,0,0,0,0.0,0.1
André,WOL,MID,5.0,Available,4,1,0,1.0,0.0
Forbs,WOL,MID,5.5,Available,0,0,0,0.0,0.0
