name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Luongo,IPS,MID,4.5,Available,135,4,0,2.0,0.6
Morsy,IPS,MID,4.9,Available,270,4,0,1.3,0.2
Ndaba,IPS,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Slicker,IPS,GKP,4.0,Available,0,0,0,0.0,0.9
Taylor,IPS,MID,4.9,Available,43,2,0,1.0,0.0
Tuanzebe,IPS,DEF,4.0,Available,251,3,0,1.0,1.6
Walton,IPS,GKP,4.5,Available,90,2,0,2.0,0.2
Woolfenden,IPS,DEF,4.0,Available,270,2,0,0.7,1.7
Phillips,IPS,MID,5.0,Available,69,2,0,2.0,0.1
Muric,IPS,GKP,4.4,Available,180,3,0,1.5,0.4
Townsend,IPS,DEF,4.0,Available,0,0,0,0.0,0.4
Szmodics,IPS,MID,6.0,Available,167,9,0,3.0,0.4
Cajuste,IPS,MID,4.5,Available,20,1,0,1.0,0.0
O'Shea,IPS,DEF,4.0,Available,0,0,0,0.0,0.0
J.Clarke,IPS,MID,5.5,Available,9,1,0,1.0,0.0
Ogbene,IPS,MID,5.0,Available,87,2,0,2.0,0.0
Buonanotte,LEI,MID,5.0,Available,170,13,0,4.3,0.3
J.Ayew,LEI,MID,5.4,Available,113,3,0,1.0,0.3
Edouard,LEI,FWD,5.4,NotAvail,115,3,0,1.5,0.6
B.Soumaré,LEI,MID,4.5,Available,11,1,0,1.0,0.2
Cannon,LEI,FWD,4.5,NotAvail,0,0,0,0.0,1.2
Choudhury,LEI,MID,4.5,Available,0,0,0,0.0,0.2
Coady,LEI,DEF,4.0,Available,0,0,0,0.0,0.2
Daka,LEI,FWD,4.9,Injured,0,0,0,0.0,0.2
De Cordova-Reid,LEI,MID,5.4,Available,148,5,0,1.7,0.1
Faes,LEI,DEF,4.1,Available,270,9,0,3.0,12.0
Golding,LEI,MID,4.5,Available,0,0,0,0.0,0.1
Hermansen,LEI,GKP,4.5,Available,270,7,0,2.3,0.5
Iversen,LEI,GKP,4.0,Available,0,0,0,0.0,0.7
Justin,LEI,DEF,4.5,Available,270,4,0,1.3,0.3
Kristiansen,LEI,DEF,4.5,Available,264,3,0,1.0,0.1
Marcal,LEI,MID,4.5,NotAvail,0,0,0,0.0,0.0
Mavididi,LEI,MID,5.4,Available,53,3,0,1.0,0.3
McAteer,LEI,MID,4.9,Available,10,3,0,1.0,0.0
Ndidi,LEI,MID,5.0,Available,268,9,0,3.0,0.2
Okoli,LEI,DEF,4.0,Available,90,0,0,0.0,0.2
Ricardo,LEI,DEF,4.4,Available,0,0,0,0.0,0.2
Souttar,LEI,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Stolarczyk,LEI,GKP,4.0,Injured,0,0,0,0.0,0.0
Thomas,LEI,DEF,4.0,Available,0,0,0,0.0,0.5
Vardy,LEI,FWD,5.6,Available,238,11,2,3.7,7.0
Vestergaard,LEI,DEF,4.0,Available,180,2,0,1.0,3.0
